Year,League,Rank,Team,All-Games,Win,Lose,Draw,Win-Prob,Batting-Average,Bats,Points,Hits,Double,Triple,HR,RBI,Steal,Protection-Ratio,Whole-Pitch,Strike-Outs,Lost-Points1950,pacific,2,南海ホークス,120,66,49,5,.574,.279,4232,645,1181,211,43,88,583,225,3.38,38,469,495
1950,pacific,3,大映スターズ,120,62,54,4,.534,.260,4152,534,1078,181,22,91,491,82,3.70,65,457,516
1950,pacific,6,東急フライヤーズ,120,51,69,0,.425,.256,4164,524,1067,169,27,87,464,143,4.52,59,428,660
1950,pacific,1,毎日オリオンズ,120,81,34,5,.704,.286,4245,713,1212,209,43,124,640,195,3.42,58,462,512
1950,pacific,5,西鉄クリッパース,120,51,67,2,.432,.254,4136,493,1050,164,23,79,451,115,3.87,52,407,583
1950,pacific,7,近鉄パールス,120,44,72,4,.379,.242,4081,467,987,179,22,86,428,94,3.85,70,418,591
1950,pacific,4,阪急ブレーブス,120,54,64,2,.458,.244,4086,522,999,163,46,69,459,193,3.69,48,463,541
1951,pacific,1,南海ホークス,104,72,24,8,.750,.276,3660,496,1010,152,45,48,441,191,2.40,36,376,322
1951,pacific,4,大映スターズ,101,41,52,8,.441,.239,3481,376,831,142,22,46,338,59,3.33,54,348,422
1951,pacific,6,東急フライヤーズ,102,38,56,8,.404,.241,3437,355,829,115,32,71,324,90,3.64,42,318,459
1951,pacific,3,毎日オリオンズ,110,54,51,5,.514,.258,3694,482,953,155,31,59,424,133,3.25,37,310,463
1951,pacific,2,西鉄ライオンズ,105,53,42,10,.558,.242,3555,429,860,141,26,63,393,92,2.75,35,351,367
1951,pacific,7,近鉄パールス,98,37,56,5,.398,.223,3201,319,713,100,23,37,299,81,3.13,49,337,387
1951,pacific,5,阪急ブレーブス,96,37,51,8,.420,.243,3278,367,796,123,30,45,332,135,3.32,34,328,404
1952,pacific,1,南海ホークス,121,76,44,1,.633,.268,4168,594,1119,168,40,83,520,239,2.84,29,481,420
1952,pacific,4,大映スターズ,121,55,65,1,.4583,.2428,4044,457,982,160,32,68,415,97,3.38,62,363,489
1952,pacific,6,東急フライヤーズ,108,49,59,0,.454,.251,3728,453,935,147,26,51,413,110,3.95,37,289,509
1952,pacific,2,毎日オリオンズ,120,75,45,0,.625,.264,4079,554,1076,188,38,72,517,160,2.87,27,421,441
1952,pacific,3,西鉄ライオンズ,120,67,52,1,.563,.261,4082,532,1066,194,39,94,499,100,3.08,45,368,481
1952,pacific,7,近鉄パールス,108,30,78,0,.278,.2429,3742,356,909,159,19,37,317,43,4.06,29,383,568
1952,pacific,5,阪急ブレーブス,108,49,58,1,.4579,.246,3669,424,904,152,39,39,381,193,3.70,37,422,462
1953,pacific,1,南海ホークス,120,71,48,1,.597,.265,4140,541,1096,188,28,61,477,228,3.02,42,428,433
1953,pacific,3,大映スターズ,120,63,53,4,.543,.237,4011,405,952,156,32,30,364,61,2.67,76,384,392
1953,pacific,6,東急フライヤーズ,120,50,67,3,.427,.220,3990,360,878,148,15,50,325,112,3.26,42,477,480
1953,pacific,5,毎日オリオンズ,120,56,62,2,.475,.252,4028,455,1015,146,40,56,414,114,3.13,27,547,459
1953,pacific,4,西鉄ライオンズ,120,57,61,2,.483,.253,4128,487,1043,178,45,114,454,122,3.05,41,533,477
1953,pacific,7,近鉄パールス,120,48,69,3,.410,.246,4138,369,1018,147,40,31,336,117,2.93,55,388,461
1953,pacific,2,阪急ブレーブス,120,67,52,1,.563,.258,4166,488,1074,163,51,44,441,184,2.68,45,513,403
1954,pacific,2,南海ホークス,140,91,49,0,.650,.250,4566,529,1141,176,42,82,487,219,2.50,39,666,417
1954,pacific,8,大映スターズ,140,43,92,5,.319,.222,4638,402,1030,181,36,47,355,100,3.53,69,482,589
1954,pacific,7,東映フライヤーズ,140,52,86,2,.377,.234,4668,472,1093,167,23,46,413,129,3.73,31,535,619
1954,pacific,3,毎日オリオンズ,140,79,57,4,.581,.236,4681,550,1106,180,38,89,510,162,2.69,40,725,467
1954,pacific,1,西鉄ライオンズ,140,90,47,3,.657,.256,4679,590,1198,203,47,134,547,136,2.17,35,752,379
1954,pacific,4,近鉄パールス,140,74,63,3,.540,.247,4697,530,1162,183,40,27,466,223,2.66,64,575,473
1954,pacific,5,阪急ブレーブス,140,66,70,4,.485,.260,4664,572,1211,223,54,63,533,204,3.23,42,697,547
1954,pacific,6,高橋ユニオンズ,140,53,84,3,.387,.229,4612,440,1057,147,32,51,389,143,3.43,49,528,594
1955,pacific,8,トンボユニオンズ,141,42,98,1,.300,.227,4685,420,1063,161,38,40,373,132,3.94,29,506,691
1955,pacific,1,南海ホークス,143,99,41,3,.707,.249,4763,606,1187,177,26,90,549,245,2.61,29,736,445
1955,pacific,6,大映スターズ,141,53,87,1,.379,.228,4641,410,1056,172,28,41,370,109,2.99,45,510,524
1955,pacific,7,東映フライヤーズ,143,51,89,3,.364,.232,4669,424,1082,175,31,40,383,88,3.18,37,544,568
1955,pacific,3,毎日オリオンズ,142,85,55,2,.607,.251,4770,573,1196,203,38,89,526,122,2.46,32,766,450
1955,pacific,2,西鉄ライオンズ,144,90,50,4,.643,.259,4859,663,1258,211,33,140,606,173,2.68,40,777,471
1955,pacific,5,近鉄パールス,142,60,80,2,.429,.252,4679,510,1181,152,32,35,459,149,3.45,47,634,584
1955,pacific,4,阪急ブレーブス,142,80,60,2,.571,.267,4782,589,1279,208,66,39,539,213,2.70,38,744,462
1956,pacific,2,南海ホークス,154,96,52,6,.643,.250,5209,612,1304,219,36,68,550,238,2.23,24,648,457
1956,pacific,7,大映スターズ,154,57,94,3,.380,.227,5135,433,1165,170,30,46,384,124,2.89,27,634,559
